sku,name,price,type,weight,size,width,length,height
,,,,,,,,
AOB-979,TortorQuisTurpis.ppt,69.05,book,21.41,1,,,
AOB-978,Morbi.mp3,91.53,book,83.61,2,,,
AOB-977,VestibulumRutrumRutrum.mp3,99.75,book,38.02,3,,,
AOB-976,HendreritAtVulputate.mp3,89.92,dvd,,265,,,
AOB-975,InterdumInAnte.ppt,4.17,dvd,,64,,,
AOB-974,QuamSollicitudin.ppt,33.56,dvd,,128,,,
AOB-973,DictumstAliquam.ppt,93.91,furniture,,,15,16,17
AOB-972,SitAmetErat.doc,67.43,furniture,,,18,19,20
AOB-971,Proin.doc,72.55,furniture,,,20,21,22
AOB-970,OrnareImperdiet.avi,60.64,furniture,,,24,25,29
